id,parameter_set_id,source,qualifier,amount,units
31573,5183,System,max,10.0000,kW-DC
31574,5183,Incentive,min,0.2300,"$/kWh (10 years)"
31723,1653,Incentive,,750.0000,$/Unit
31724,2889,Incentive,min,0.0200,"$/square foot"
31725,2889,Incentive,max,0.0400,"$/square foot"
31726,2890,Incentive,,45.0000,$/ton
31727,2891,Incentive,,0.3000,"$/square foot"
31728,2892,Incentive,min,0.3000,"$/square foot"
31729,2892,Incentive,max,0.4000,"$/square foot"
31730,2893,Incentive,,100.0000,$/horsepower
31731,4671,Incentive,min,5.0000,$/fixture
31732,4671,Incentive,max,12.0000,$/fixture
31733,4672,Incentive,,0.3000,"$/square foot"
31734,4673,Incentive,,1.0000,$/gallon
31735,4674,Incentive,,75.0000,$/Unit
31736,2973,Incentive,,0.0200,"$/square foot"
31737,2974,Incentive,min,0.4000,"$/square foot"
31738,2974,Incentive,max,0.7500,"$/square foot"
31739,5068,Incentive,min,100.0000,$/Unit
31740,5068,Incentive,max,375.0000,$/Unit
31741,5069,Incentive,,0.0010,$/MBTUh
31742,5070,Incentive,,1.5000,$/gallon
31743,5071,Incentive,,0.5000,"$/linear foot"
31744,5071,Incentive,,7.5000,$/Unit
31745,5072,Incentive,,0.7500,"$/square foot"
31746,5073,Incentive,min,20.0000,$/Unit
31747,5073,Incentive,max,500.0000,$/Unit
31748,4689,Incentive,max,5.0000,$/fixture
31749,4690,Incentive,max,500.0000,$/ton
31750,4691,Incentive,,20.0000,$
31751,4692,Incentive,min,0.0050,"$/square foot"
31752,4692,Incentive,max,0.0060,"$/square foot"
31753,4693,Incentive,,250.0000,$
31754,4694,Incentive,max,2.0000,"$/square foot"
31755,4695,Incentive,,15.0000,$/Unit
31756,4696,Incentive,,15.0000,$/Unit
31757,4697,Incentive,,40.0000,$/horsepower
31758,4698,Incentive,,6.0000,$/Unit
31759,2881,Incentive,,0.0200,"$/square foot"
31760,5154,Incentive,,6.0000,$/Unit
31761,5155,Incentive,,5.0000,$/Unit
31762,5156,Incentive,,4.0000,$/Unit
31763,5157,Incentive,,3.0000,$/ton
31764,5158,Incentive,min,0.2000,"$/square foot"
31765,5158,Incentive,max,0.5000,"$/square foot"
31766,3456,Incentive,,5.0000,$/Unit
31767,3456,Incentive,max,25.0000,$
31768,3457,Incentive,,25.0000,$/Unit
31834,352,Incentive,max,50.0000,"% of cost"
31835,352,Incentive,max,10000.0000,$
31836,352,Incentive,,2.0000,$/W-DC
31837,356,Incentive,,38.0000,%
31838,356,Incentive,max,7600.0000,$
31839,356,System,max,6.0000,kW-DC
31965,1435,Incentive,,1500.0000,$/Unit
31966,1436,Incentive,min,250.0000,$/Unit
31967,1436,Incentive,max,750.0000,$/Unit
31968,1437,Incentive,,400.0000,$/Unit
32090,1428,Incentive,,75.0000,$/ton
32091,1429,Incentive,min,50.0000,$/ton
32092,1429,Incentive,max,75.0000,$
32093,1430,Incentive,,20.0000,$/Unit
32094,1431,Incentive,,100.0000,$/horsepower
32095,1432,Incentive,,20.0000,$/Unit
32096,1433,Incentive,min,25.0000,$/Unit
32097,1433,Incentive,max,40.0000,$
32098,1404,Incentive,min,4.0000,$/horsepower
32099,1404,Incentive,max,6.0000,$
32100,1405,Incentive,,30.0000,$/horsepower
32111,1444,Incentive,,250.0000,$/Unit
32112,1445,Incentive,,150.0000,$/Unit
32113,1446,Incentive,min,25.0000,$/Unit
32114,1446,Incentive,max,100.0000,$
32115,1438,Incentive,,250.0000,$/Unit
32116,1439,Incentive,,150.0000,$/Unit
32117,1440,Incentive,min,25.0000,$/Unit
32118,1440,Incentive,max,100.0000,$
32151,1424,Incentive,,1.0000,$/Unit
32152,1425,Incentive,,400.0000,$/Unit
32153,1426,Incentive,,250.0000,$/Unit
32154,1426,Incentive,,1.0000,$/Unit
32155,2144,Incentive,,1.0000,$/W
32156,2144,Incentive,max,50.0000,"% of cost"
32157,2144,Incentive,max,50000.0000,$
32167,2304,Incentive,,0.5000,$/W-AC
32168,2304,Incentive,max,50000.0000,$
32171,2003,Incentive,,1.6800,$/W
32172,2003,Incentive,max,7000.0000,$
32173,2004,Incentive,,1.6800,$/Unit
32174,2004,Incentive,max,40000.0000,$
32175,2021,Incentive,,0.7800,$/W-AC
32176,2021,Incentive,max,2340.0000,$
32177,2022,Incentive,,0.7800,$/W-AC
32178,2022,Incentive,max,19500.0000,$
32179,2063,Incentive,,0.6200,$/W-AC
32180,2063,Incentive,max,4480.0000,$
32181,2064,Incentive,,0.5900,$/W-AC
32182,2064,Incentive,max,11800.0000,$
32183,2134,System,max,29.9900,kW-AC
32184,2134,Incentive,,0.5000,$/W-CEC-AC
32185,2135,System,min,30.0000,kW-AC
32186,2135,Incentive,,0.0500,"$/kWh (5 years)"
32187,2135,Incentive,max,550000.0000,$
32188,2131,Incentive,,1.0000,$/W-AC
32189,2131,Incentive,max,3000.0000,$
32190,2132,Incentive,,1.0000,$/W-AC
32191,2132,Incentive,max,25000.0000,$
32192,2298,Incentive,,0.5000,$/W-AC
32193,2547,Incentive,,0.6400,$/W-CEC-AC
32194,2547,System,max,30.0000,kW
32195,2548,Incentive,,0.4900,$/W-CEC-AC
32196,2548,System,max,30.0000,kW-CEC-AC
32197,2544,Incentive,,0.5100,$/W-DC
32198,414,Incentive,,1.3000,$/W
32199,414,Incentive,max,65000.0000,$
32200,2568,System,max,30.0000,kW-DC
32201,2568,Incentive,,1.5000,$/W
32202,2568,Incentive,max,50.0000,"% of cost"
32203,2569,Incentive,,2.6000,$/W-AC
32204,2569,Incentive,max,3000.0000,$
32205,2569,Incentive,max,50.0000,"% of cost"
32206,2570,Incentive,,1.8100,$/W-AC
32207,2570,Incentive,max,19000.0000,$
32208,2570,Incentive,max,50.0000,"% of cost"
32209,2570,System,max,50.0000,kW
32210,2587,Incentive,,1.0000,$/W-AC
32211,2587,Incentive,max,10000.0000,$
32212,2588,System,max,30.0000,kW-AC
32213,2588,Incentive,,1.0000,$/W-AC
32214,2589,System,min,30.1000,kW-AC
32215,2589,System,max,500.0000,kW-AC
32216,2589,Incentive,,0.0400,"$/kWh (4 years)"
32219,1680,Incentive,,0.2400,$/W-CEC-AC
32220,4359,System,max,29.9900,kW
32221,4359,Incentive,,1.2000,$/W
32222,4360,System,min,30.0000,kW
32223,4360,Incentive,,0.1500,"$/kWh (5 years)"
32224,4360,System,max,1000.0000,kW
32225,4358,System,max,29.9900,kW
32226,4358,Incentive,,0.5700,$/W
32237,2293,Incentive,,50.0000,$/ton
32238,2294,Incentive,,150.0000,$/kW
32239,2295,Incentive,,0.0600,"$/first year kWh savings"
32586,1319,Incentive,,25.0000,$/Unit
32587,1320,Incentive,min,40.0000,$/ton
32588,1320,Incentive,max,80.0000,$
32589,1321,Incentive,,150.0000,$/ton
32590,1322,Incentive,,300.0000,$/ton
32591,1323,Incentive,,30.0000,$/horsepower
32592,2877,Incentive,,300.0000,$/Unit
32593,2878,Incentive,,125.0000,$/Unit
32594,2878,Incentive,max,300.0000,$
32635,2010,Incentive,,200.0000,$/Unit
32636,2011,Incentive,min,150.0000,$/Unit
32637,2011,Incentive,max,200.0000,$
32638,2012,Incentive,,300.0000,$/Unit
32639,2200,Incentive,,450.0000,$/Unit
32640,2201,Incentive,,25.0000,$/Unit
32641,2202,Incentive,,50.0000,
32642,2203,Incentive,,50.0000,$/Unit
32653,2136,Incentive,max,200.0000,$
32654,2137,Incentive,max,100.0000,$
32655,2138,Incentive,max,400.0000,$
32838,476,System,min,0.5000,kW
32839,476,System,max,25.0000,kW
32840,476,Incentive,,0.2000,$/W
32841,476,Incentive,max,1800.0000,$
32842,477,Incentive,,0.2000,$/W
32843,477,Incentive,max,600.0000,$
32844,478,Incentive,,0.0200,$/BTU
32845,478,Incentive,max,600.0000,$
33131,3247,Incentive,,40.0000,$/MBTUh
33347,1925,System,max,10.0000,kW
33348,1925,Incentive,,1.2500,$/W-AC
33349,1925,Incentive,max,12500.0000,$
33350,1926,System,max,50.0000,kW
33351,1926,Incentive,,0.6500,$/W-AC
33352,1927,System,min,50.1000,kW
33353,1927,System,max,1.0000,MW
33354,1927,Incentive,,0.0900,"$/kWh (5 years)"
33385,1974,System,max,100.0000,kW-CEC-AC
33386,1974,Incentive,,0.3000,$/W-CEC-AC
33387,1975,System,max,100.0000,kW-CEC-AC
33388,1975,Incentive,,0.6000,$/W-CEC-AC
33389,1976,System,max,100.0000,kW-CEC-AC
33390,1976,Incentive,,1.2000,$/W-CEC-AC
33391,1977,System,min,100.1000,kW-CEC-AC
33392,1977,System,max,1000.0000,kW-CEC-AC
33393,1977,Incentive,,0.0960,$/kWh
33394,1978,System,min,100.1000,kW-CEC-AC
33395,1978,System,max,1000.0000,kW-CEC-AC
33396,1978,Incentive,,0.1920,$/kWh
33397,1979,System,min,100.1000,kW-CEC-AC
33398,1979,System,max,1000.0000,kW-CEC-AC
33399,1979,Incentive,,0.3840,$/kWh
33420,3115,System,min,1.0000,kW-CEC-AC
33421,3115,System,max,10.0000,kW-CEC-AC
33422,3115,Incentive,,0.2400,$/W-CEC-AC
33423,3116,System,min,10.1000,kW-CEC-AC
33424,3116,System,max,24.9000,kW-CEC-AC
33425,3116,Incentive,,0.0400,"$/kWh (5 years)"
33467,487,Incentive,,50.0000,%
33468,487,Incentive,max,400.0000,$
33508,447,System,max,10.0000,kW
33509,447,Incentive,,450.0000,$/kW
33572,1,Incentive,,1.0000,$/W
33573,1,Incentive,max,5000.0000,$
33574,2,Incentive,,1.0000,$/W
33575,2,Incentive,max,2500.0000,$
33576,3,Incentive,,1.0000,$/W
33577,3,Incentive,max,10000.0000,$
33580,136,Incentive,,300.0000,$/kW
33581,136,Incentive,max,8000.0000,$
33582,136,System,max,100.0000,kW-DC
33583,137,Incentive,,300.0000,$/kW
33584,137,Incentive,max,2000.0000,$
33585,137,System,max,100.0000,kW-DC
33586,138,Incentive,,500.0000,$/Unit
33622,1842,Incentive,,0.0200,"$/kWh (10 years)"
33623,1843,Incentive,,0.0000,$/BTU
33624,1723,Incentive,max,500.0000,$
33625,1723,Incentive,,3.0000,$/W
33626,1724,Incentive,max,500.0000,$
33627,1725,Incentive,max,500.0000,$
33628,1726,Incentive,max,250.0000,$
33633,1990,System,min,1.0000,MW
33634,1990,Incentive,,6.0000,%
33635,1990,Incentive,max,999999.9999,$
33636,568,Incentive,,0.0100,"$/kWh (10 years)"
33637,568,System,min,1.0000,MW
33638,569,Incentive,,0.0300,"$/kWh (10 years)"
33639,569,System,min,1.0000,MW
33640,540,Incentive,,10.0000,%
33641,540,Incentive,max,9000.0000,$
33642,541,Incentive,,10.0000,%
33643,541,Incentive,max,9000.0000,$
33646,2086,Incentive,,1.5000,$/W-DC
33647,2087,Incentive,max,6000.0000,$
33648,2087,Incentive,max,50.0000,"% of cost"
33649,2088,Incentive,,0.6000,"$/first year kWh savings"
33650,2089,Incentive,,2.0000,"$/kWh (1 year)"
33651,2090,Incentive,,0.2000,"$/first year kWh savings"
33652,2090,Incentive,max,2500.0000,$
33653,2091,Incentive,,3.0000,$/W
33654,3147,Incentive,,2.0000,"$/kWh (1 year)"
33655,4789,Incentive,,3.0000,$/W
33656,4790,Incentive,max,1500.0000,$
33657,4790,Incentive,max,50.0000,"% of cost"
33672,2430,Incentive,,0.0100,$/kWh
33673,2430,Incentive,max,999999.9999,$
33674,1891,Incentive,,0.0200,"$/kWh (10 years)"
33675,1892,Incentive,,0.0000,$/BTU
33676,3661,Incentive,max,1000.0000,$
33677,3662,Incentive,,3.0000,$/W
33678,3662,Incentive,max,1000.0000,$
